Date,AdjCloseRSP,AdjCloseSPY,AdjCloseAmazon,AdjCloseDukeenergy,RSP,SPY,Amazon,DukeEnergy
1/5/2015,81.31,209.03,429.23,74.9,0.0072,0.0128,0.0175,-0.0135
1/4/2015,80.73,206.38,421.78,75.92,0.0041,0.0098,0.1253,0.0102
2/3/2015,80.4,204.37,372.1,75.15,-0.0096,-0.0158,-0.0214,-0.0228
2/2/2015,81.18,207.63,380.16,76.88,0.0557,0.0547,0.0698,-0.0943
2/1/2015,76.78,196.58,354.53,84.48,-0.0297,-0.0301,0.1331,0.0422
1/12/2014,79.09,202.58,310.35,80.99,0.0028,-0.0025,-0.0872,0.0321
3/11/2014,78.87,203.1,338.64,78.43,0.0263,0.0271,0.1031,-0.0057
1/10/2014,76.82,197.67,305.46,78.88,0.0298,0.0233,-0.0541,0.0941
2/9/2014,74.57,193.12,322.44,71.79,-0.0262,-0.0139,-0.0502,0.0105
1/8/2014,76.55,195.82,339.04,71.04,0.0412,0.0387,0.0799,0.0367
1/7/2014,73.46,188.39,312.99,68.49,-0.0236,-0.0135,-0.037,-0.0282
2/6/2014,75.22,190.95,324.78,70.44,0.0282,0.0204,0.0384,0.0428
1/5/2014,73.12,187.09,312.55,67.49,0.0213,0.0229,0.0273,-0.0359
1/4/2014,71.58,182.85,304.13,69.96,0.0038,0.0069,-0.1008,0.0449
3/3/2014,71.31,181.58,336.37,66.89,0.0061,0.0083,-0.0737,0.0048
3/2/2014,70.88,180.09,362.1,66.57,0.052,0.0445,0.0095,0.0147
2/1/2014,67.29,172.25,358.69,65.6,-0.0301,-0.0359,-0.106,0.0231
2/12/2013,69.34,178.54,398.79,64.1,0.0284,0.0256,0.013,-0.0137
1/11/2013,67.39,174.03,393.62,64.98,0.022,0.0292,0.0781,-0.0141
1/10/2013,65.93,169.02,364.03,65.9,0.0419,0.0453,0.1522,0.0715
3/9/2013,63.22,161.54,312.64,61.36,0.0403,0.0312,0.1068,0.0178
1/8/2013,60.73,156.59,280.98,60.27,-0.0296,-0.0305,-0.0696,-0.068
1/7/2013,62.56,161.43,301.22,64.51,0.0548,0.0504,0.0813,0.0506
3/6/2013,59.22,153.5,277.69,61.33,-0.0124,-0.0134,0.0311,0.0085
1/5/2013,59.96,155.57,269.2,60.82,0.0265,0.0233,0.0589,-0.1058
1/4/2013,58.39,151.98,253.81,67.61,0.0168,0.019,-0.0488,0.0353
1/3/2013,57.42,149.12,266.49,65.26,0.0427,0.0373,0.0084,0.0471
1/2/2013,55.02,143.66,264.27,62.26,0.0096,0.0127,-0.0046,0.0185
2/1/2013,54.49,141.85,265.5,61.12,0.063,0.0499,0.0567,0.0746
3/12/2012,51.16,134.95,250.87,56.73,0.0224,0.0089,-0.0047,-0.0003
1/11/2012,50.03,133.75,252.05,56.74,0.0127,0.0056,0.0791,-0.0165
1/10/2012,49.4,133,232.89,57.69,-0.0083,-0.0184,-0.088,0.0138
4/9/2012,49.81,135.46,254.32,56.9,0.0248,0.025,0.0241,0.0002
1/8/2012,48.58,132.11,248.27,56.89,0.0302,0.0247,0.0622,-0.034
2/7/2012,47.14,128.89,233.3,58.85,0.0012,0.0118,0.0214,-0.0204
1/6/2012,47.08,127.38,228.35,60.07,0.0379,0.0398,0.07,0.048
1/5/2012,45.33,122.41,212.91,57.25,-0.0725,-0.0619,-0.0854,0.0369
2/4/2012,48.74,130.23,231.9,55.18,-0.0075,-0.0067,0.1355,0.0198
1/3/2012,49.11,131.11,202.51,54.1,0.0229,0.0317,0.1196,0.0043
1/2/2012,48,127.02,179.69,53.87,0.0393,0.0425,-0.0789,-0.0068
3/1/2012,46.15,121.74,194.44,54.23,0.0553,0.0453,0.1163,-0.0319
1/12/2011,43.67,116.34,173.1,55.99,0.0016,0.0104,-0.1051,0.0537
1/11/2011,43.6,115.14,192.29,53.06,-0.0088,-0.0041,-0.1047,0.033
3/10/2011,43.98,115.61,213.51,51.34,0.1228,0.1036,-0.0127,0.0213
1/9/2011,38.9,104.23,216.23,50.26,-0.0948,-0.0719,0.0046,0.0555
1/8/2011,42.77,112.01,215.23,47.54,-0.0656,-0.0565,-0.0333,0.0306
1/7/2011,45.67,118.52,222.52,46.11,-0.0368,-0.0202,0.0845,-0.0123
1/6/2011,47.38,120.94,204.49,46.68,-0.0182,-0.017,0.0389,0.0043
2/5/2011,48.25,123.02,196.69,46.48,-0.0062,-0.0113,0.0045,0.018
1/4/2011,48.55,124.41,195.81,45.65,0.0308,0.0285,0.0835,0.0272
1/3/2011,47.08,120.91,180.13,44.43,0.0083,0.0001,0.0387,0.0089
1/2/2011,46.69,120.9,173.29,44.04,0.0394,0.0341,0.0213,0.0197
3/1/2011,44.89,116.84,169.64,43.17,0.0209,0.023,-0.0593,0.0039
1/12/2010,43.96,114.18,180,43.01,0.0697,0.0647,0.0259,0.0147
1/11/2010,41,107.02,175.4,42.38,0.0082,0,0.0597,-0.0235
1/10/2010,40.66,107.02,165.23,43.39,0.035,0.0375,0.0507,0.0278
1/9/2010,39.27,103.09,157.06,42.2,0.097,0.0858,0.2297,0.0304
2/8/2010,35.64,94.61,124.83,40.93,-0.0487,-0.046,0.0572,0.0186
1/7/2010,37.41,99.07,117.89,40.18,0.071,0.0661,0.076,0.0665
1/6/2010,34.85,92.73,109.26,37.59,-0.0651,-0.0531,-0.1383,0.0025
3/5/2010,37.2,97.79,125.46,37.5,-0.0765,-0.0828,-0.0887,-0.0358
1/4/2010,40.16,106.24,137.1,38.87,0.0262,0.0154,0.0097,0.0278
1/3/2010,39.12,104.62,135.77,37.8,0.0697,0.0591,0.1369,-0.0018
1/2/2010,36.48,98.61,118.4,37.87,0.041,0.0307,-0.0575,0.0036
4/1/2010,35.02,95.63,125.41,37.73,-0.0337,-0.037,-0.0701,-0.0403
1/12/2009,36.22,99.24,134.52,39.29,0.0451,0.0189,-0.0103,0.0313
2/11/2009,34.62,97.38,135.91,38.08,0.0539,0.0598,0.1345,0.0678
1/10/2009,32.8,91.73,118.81,35.58,-0.0377,-0.0194,0.2411,0.0051
1/9/2009,34.06,93.52,93.36,35.4,0.0515,0.0348,0.1397,0.016
3/8/2009,32.35,90.32,81.19,34.84,0.0549,0.0363,-0.0548,0.0162
1/7/2009,30.62,87.1,85.76,34.28,0.0879,0.072,0.0248,0.0592
1/6/2009,28.05,81.06,83.66,32.31,-0.012,-0.0007,0.0702,0.0306
1/5/2009,28.39,81.11,77.99,31.34,0.0626,0.0568,-0.0319,0.0408
1/4/2009,26.66,76.63,80.52,30.08,0.1714,0.0947,0.092,-0.0363
2/3/2009,22.46,69.71,73.44,31.19,0.0975,0.08,0.1253,0.0612
2/2/2009,20.38,64.35,64.79,29.34,-0.1191,-0.1137,0.0967,-0.1023
2/1/2009,22.95,72.09,58.82,32.5,-0.0871,-0.0857,0.1372,0.0093
1/12/2008,25.04,78.54,51.28,32.2,0.0304,0.0097,0.1831,-0.036
3/11/2008,24.3,77.78,42.7,33.38,-0.1013,-0.0721,-0.2931,-0.0367
1/10/2008,26.89,83.6,57.24,34.63,-0.2345,-0.1805,-0.2399,-0.0621
2/9/2008,33.99,100.14,72.76,36.85,-0.1154,-0.0989,-0.1049,-0.0006
1/8/2008,38.15,110.55,80.81,36.87,0.0292,0.0153,0.0569,0.005
1/7/2008,37.05,108.87,76.34,36.69,-0.005,-0.009,0.0402,0.0114
2/6/2008,37.24,109.85,73.33,36.27,-0.1036,-0.0873,-0.1071,-0.0614
1/5/2008,41.3,119.87,81.62,38.57,0.0262,0.015,0.0373,0.021
1/4/2008,40.24,118.09,78.63,37.77,0.0557,0.0466,0.0979,0.0254
3/3/2008,38.06,112.72,71.3,36.82,-0.0187,-0.009,0.1007,0.0175
1/2/2008,38.78,113.73,64.47,36.18,-0.0306,-0.0262,-0.1867,-0.0495
2/1/2008,39.98,116.75,77.7,38.02,-0.044,-0.0624,-0.1759,-0.0784
3/12/2007,41.78,124.26,92.64,41.11,-0.0172,-0.0113,0.0227,0.019
1/11/2007,42.51,125.68,90.56,40.34,-0.0476,-0.0395,0.0157,0.0431
1/10/2007,44.58,130.74,89.15,38.64,0.0111,0.0135,-0.0439,0.0254
4/9/2007,44.08,128.99,93.15,37.67,0.0246,0.038,0.1533,0.0189
1/8/2007,43.01,124.18,79.91,36.96,0.0008,0.0128,0.0173,0.086
2/7/2007,42.98,122.61,78.54,33.92,-0.0462,-0.0318,0.1381,-0.0719
1/6/2007,45.01,126.57,68.41,36.45,-0.0187,-0.0147,-0.0106,-0.0656
1/5/2007,45.86,128.45,69.14,38.92,0.0318,0.0334,0.1199,-0.0387
2/4/2007,44.42,124.24,61.33,40.45,0.0431,0.0433,0.4327,0.0113
1/3/2007,42.55,118.97,39.79,40,0.0082,0.0115,0.0165,0.0305
1/2/2007,42.2,117.61,39.14,38.8,-0.0048,-0.0198,0.0383,0.0098
3/1/2007,42.4,119.96,37.67,38.42,0.0238,0.0149,-0.0464,0.0201
1/12/2006,41.4,118.18,39.46,37.65,0.0056,0.0133,-0.0221,0.0459
1/11/2006,41.17,116.62,40.34,35.96,0.0246,0.0197,0.0574,0.0126
2/10/2006,40.17,114.35,38.09,35.51,0.0369,0.031,0.1705,0.0466
1/9/2006,38.71,110.85,32.12,33.89,0.0237,0.0266,0.041,0.0066
1/8/2006,37.81,107.94,30.83,33.67,0.027,0.0216,0.1367,0
3/7/2006,36.8,105.63,26.89,33.67,-0.0134,0.0045,-0.3636,0.0318
1/6/2006,37.29,105.16,38.68,32.62,-0.0028,0.0026,0.1112,0.0399
1/5/2006,37.4,104.89,34.61,31.34,-0.0301,-0.0306,-0.0172,-0.0206
3/4/2006,38.54,108.15,35.21,31.99,0.0086,0.0126,-0.0368,-0.001
1/3/2006,38.21,106.8,36.53,32.02,0.0208,0.0164,-0.0246,0.0261
1/2/2006,37.43,105.06,37.44,31.2,0.0034,0.0057,-0.1799,0.0128
3/1/2006,37.3,104.47,44.82,30.8,0.0395,0.0237,-0.0507,0.0323
1/12/2005,35.86,102.02,47.15,29.83,0.0053,-0.0019,-0.0274,0.0217
1/11/2005,35.67,102.21,48.46,29.18,0.0445,0.043,0.1954,0.0262
3/10/2005,34.12,97.91,39.86,28.43,-0.0272,-0.0239,-0.1279,-0.0968
1/9/2005,35.06,100.28,45.3,31.32,0.005,0.008,0.0591,0.0062
1/8/2005,34.88,99.48,42.7,31.13,-0.0088,-0.0094,-0.0558,-0.0188
1/7/2005,35.19,100.42,45.15,31.72,0.0498,0.0375,0.3108,-0.0064
1/6/2005,33.48,96.72,33.09,31.92,0.0153,0.0015,-0.0706,0.0787
2/5/2005,32.97,96.58,35.51,29.51,0.044,0.0317,0.0929,-0.0505
1/4/2005,31.55,93.56,32.36,31.03,-0.0325,-0.0189,-0.0573,0.0413
1/3/2005,32.6,95.35,34.27,29.78,-0.0137,-0.0185,-0.0262,0.0371
1/2/2005,33.05,97.12,35.18,28.69,0.0211,0.0207,-0.2058,0.0176
3/1/2005,32.36,95.14,43.22,28.19,-0.0313,-0.0227,-0.0245,0.056
1/12/2004,33.39,97.32,44.29,26.66,0.0364,0.0297,0.1099,0.002
1/11/2004,32.19,94.47,39.68,26.6,0.0563,0.0436,0.1507,0.041
1/10/2004,30.43,90.45,34.13,25.54,0.0235,0.0128,-0.18,0.0692
1/9/2004,29.72,89.3,40.86,23.83,0.0254,0.01,0.0689,0.0333
2/8/2004,28.98,88.41,38.14,23.05,-0.001,0.0024,-0.0202,0.0417
1/7/2004,29.01,88.19,38.92,22.11,-0.0468,-0.0327,-0.3349,0.0579
1/6/2004,30.4,91.13,54.4,20.86,0.0299,0.0183,0.1148,0.0174
3/5/2004,29.5,89.47,48.5,20.5,0.0173,0.017,0.1065,-0.0405
1/4/2004,29,87.97,43.6,21.35,-0.0239,-0.0191,0.0074,-0.0706
1/3/2004,29.7,89.66,43.28,22.91,-0.0068,-0.0133,0.0063,0.0287
2/2/2004,29.9,90.87,43.01,22.26,0.0189,0.0135,-0.1586,0.023
2/1/2004,29.34,89.65,50.4,21.76,0.0234,0.0196,-0.0431,0.0607
1/12/2003,28.66,87.91,52.62,20.48,0.0505,0.0491,-0.0253,0.1254
3/11/2003,27.25,83.7,53.97,18.06,0.0209,0.0109,-0.0085,0.0096
1/10/2003,26.69,82.8,54.43,17.89,0.0669,0.0521,0.1168,0.0189
2/9/2003,24.96,78.59,48.43,17.55,-0.0149,-0.011,0.0445,0.0419
1/8/2003,25.34,79.46,46.32,16.84,0.0422,0.0204,0.1065,-0.0113
1/7/2003,24.29,77.85,41.64,17.03,0.0233,0.0179,0.1367,-0.1282
2/6/2003,23.73,76.47,36.32,19.36,0.0086,0.0106,0.0119,0.029
2/5/2003,23.53,75.67,35.89,18.8,,,,
